"rules","support","confidence","lift"
"{6-10的认识和加减法} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.016,1,5.81
"{6-10的认识和加减法,小兰比小红少} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.016,1,5.81
"{3、1-5的认识和加减法} => {6-10的认识和加减法,认识钟表}",0.016,1,7.176
"{1、数一数,2、比一比,3、1-44的认识和加减法,4、认识物体和图形} => {6-10的认识和加减法,认识钟表}",0.016,1,7.176
"{3、1-44的认识和加减法} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.033,1,5.81
"{2、20以内的退位减法,图中的} => {1.认识图形(二)}",0.057,1,1.821
"{时钟} => {认识钟表}",0.057,1,5.81
"{2、20以内的退位减法,植物} => {1.认识图形(二)}",0.082,1,1.821
"{小兰比小红少} => {认识钟表}",0.057,0.778,4.519
"{4.100以内数的认识} => {分类与整理}",0.066,0.8,3.148
"{一节课的时间} => {认识钟表}",0.09,0.846,4.916
"{6-10的认识和加减法,认识钟表} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.115,0.824,4.784
"{1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形} => {6-10的认识和加减法,认识钟表}",0.115,0.667,4.784
"{2、20以内的退位减法,分类与整理,4.100以内数的认识} => {1.认识图形(二)}",0.172,1,1.821
"{7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.197,1,5.083
"{5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.197,1,5.083
"{7、找规律} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.667,2.805
"{7、找规律} => {1.认识图形(二)}",0.18,0.917,1.669
"{5.认识人民币,6、100以内的加法和减法} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.667,2.805
"{5.认识人民币,6、100以内的加法和减法} => {1.认识图形(二)}",0.18,0.917,1.669
"{分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.189,0.742,3.121
"{2、20以内的退位减法,4.100以内数的认识} => {分类与整理}",0.189,0.793,3.121
"{分类与整理} => {1.认识图形(二)}",0.189,0.742,1.351
