"rules","support","confidence","lift"
"{复式统计表,两位数乘两位数} => {位置与方向,除数是一位数的除法,统计}",0.013,1,2.75
"{表内除法（一）,图形与变换,表内除法（二）,万以内数的认识,克和千克} => {解决问题}",0.013,1,4.812
"{小数的初步认识,数学广角} => {两位数乘两位数,面积}",0.013,0.667,4.667
"{小数的初步认识,数学广角} => {年、月、日}",0.019,1,2.75
"{倍的认识} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{倍的认识} => {多位数乘一位数}",0.019,1,7.333
"{倍的认识} => {时、分、秒}",0.019,1,3.667
"{倍的认识} => {万以内的加法和减法（二）}",0.019,1,2.61
"{四边形,分数的初步认识,数学广角} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{四边形,分数的初步认识,数学广角} => {多位数乘一位数}",0.019,1,7.333
"{四边形,分数的初步认识,数学广角} => {时、分、秒}",0.019,1,3.667
"{四边形,分数的初步认识,数学广角} => {万以内的加法和减法（二）}",0.019,1,2.61
"{表内除法（一）,图形与变换,表内除法（二）,万以内数的认识} => {解决问题}",0.065,1,4.812
"{万以内的加法和减法（一）,测量} => {时、分、秒}",0.156,1,3.667
"{万以内的加法和减法（一）,测量} => {万以内的加法和减法（二）}",0.156,1,2.61
"{小数的初步认识,解决问题} => {两位数乘两位数,面积}",0.13,1,7
"{两位数乘两位数,面积} => {小数的初步认识,解决问题}",0.13,0.909,7
"{小数的初步认识,解决问题} => {数学广角}",0.13,1,3.949
"{小数的初步认识,解决问题} => {位置与方向,除数是一位数的除法,统计}",0.13,1,2.75
"{小数的初步认识,解决问题} => {年、月、日}",0.13,1,2.75
"{分数的初步认识,可能性} => {多位数乘一位数}",0.117,1,7.333
"{多位数乘一位数} => {分数的初步认识,可能性}",0.117,0.857,7.333
"{分数的初步认识,可能性} => {四边形,有余数的除法}",0.117,1,4.4
"{分数的初步认识,可能性} => {测量}",0.117,1,4.4
"{分数的初步认识,可能性} => {时、分、秒}",0.117,1,3.667
"{分数的初步认识,可能性} => {万以内的加法和减法（二）}",0.117,1,2.61
"{两位数乘两位数,面积} => {数学广角}",0.13,0.909,3.59
"{两位数乘两位数,面积} => {位置与方向,除数是一位数的除法,统计}",0.136,0.955,2.625
"{两位数乘两位数,面积} => {年、月、日}",0.143,1,2.75
"{多位数乘一位数} => {四边形,有余数的除法}",0.117,0.857,3.771
"{多位数乘一位数} => {测量}",0.117,0.857,3.771
"{多位数乘一位数} => {时、分、秒}",0.136,1,3.667
"{多位数乘一位数} => {万以内的加法和减法（二）}",0.136,1,2.61
"{四边形,有余数的除法} => {测量}",0.227,1,4.4
"{测量} => {四边形,有余数的除法}",0.227,1,4.4
"{四边形,有余数的除法} => {万以内的加法和减法（二）}",0.227,1,2.61
"{测量} => {万以内的加法和减法（二）}",0.227,1,2.61
"{位置与方向,除数是一位数的除法,统计} => {年、月、日}",0.351,0.964,2.652
"{年、月、日} => {位置与方向,除数是一位数的除法,统计}",0.351,0.964,2.652
"{时、分、秒} => {万以内的加法和减法（二）}",0.273,1,2.61
"{万以内的加法和减法（二）} => {时、分、秒}",0.273,0.712,2.61
"{两位数乘两位数,面积,小数的初步认识,数学广角} => {年、月、日}",0.013,1,2.75
"{年、月、日,小数的初步认识,数学广角} => {两位数乘两位数,面积}",0.013,0.667,4.667
"{倍的认识,四边形,分数的初步认识,数学广角} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{倍的认识,四边形,分数的初步认识,数学广角} => {多位数乘一位数}",0.019,1,7.333
"{倍的认识,四边形,分数的初步认识,数学广角} => {时、分、秒}",0.019,1,3.667
"{倍的认识,四边形,分数的初步认识,数学广角} => {万以内的加法和减法（二）}",0.019,1,2.61
"{倍的认识,万以内的加法和减法（一）,测量} => {多位数乘一位数}",0.019,1,7.333
"{倍的认识,多位数乘一位数} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{倍的认识,万以内的加法和减法（一）,测量} => {时、分、秒}",0.019,1,3.667
"{倍的认识,时、分、秒} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{倍的认识,万以内的加法和减法（一）,测量} => {万以内的加法和减法（二）}",0.019,1,2.61
"{倍的认识,万以内的加法和减法（二）} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{倍的认识,多位数乘一位数} => {时、分、秒}",0.019,1,3.667
"{倍的认识,时、分、秒} => {多位数乘一位数}",0.019,1,7.333
"{倍的认识,多位数乘一位数} => {万以内的加法和减法（二）}",0.019,1,2.61
"{倍的认识,万以内的加法和减法（二）} => {多位数乘一位数}",0.019,1,7.333
"{倍的认识,时、分、秒} => {万以内的加法和减法（二）}",0.019,1,2.61
"{倍的认识,万以内的加法和减法（二）} => {时、分、秒}",0.019,1,3.667
"{四边形,分数的初步认识,数学广角,万以内的加法和减法（一）,测量} => {多位数乘一位数}",0.019,1,7.333
"{多位数乘一位数,四边形,分数的初步认识,数学广角} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
"{四边形,分数的初步认识,数学广角,万以内的加法和减法（一）,测量} => {时、分、秒}",0.019,1,3.667
"{时、分、秒,四边形,分数的初步认识,数学广角} => {万以内的加法和减法（一）,测量}",0.019,1,6.417
