"rules","support","confidence","lift"
"{表内除法（一）,图形与变换,下面滑梯中有很多角，请你写出图中的∠2是什么角，正确的答案是_____。,表内除法（二）} => {解决问题}",0.021,1,2.826
"{表内乘法（一）,环卫阿姨3月收集瓶子37个，4月收集瓶子58个，4月比3月大约多收集多少个？} => {角的初步认识}",0.015,1,3.611
"{表内乘法（一）,环卫阿姨3月收集瓶子37个，4月收集瓶子58个，4月比3月大约多收集多少个？} => {长度单位}",0.015,1,2.407
"{100以内的加法和减法（二）,角的初步认识} => {长度单位}",0.031,1,2.407
"{表内除法（一）,图形与变换,表内除法（二）,万以内数的认识} => {解决问题}",0.051,1,2.826
"{100以内的加法和减法（二）} => {长度单位}",0.031,0.6,1.444
"{从不同的位置观察物体} => {表内乘法（一）,观察物体}",0.036,1,4.535
"{表内除法（一）,图形与变换,表内除法（二）} => {解决问题}",0.072,1,2.826
"{表内乘法（一）} => {角的初步认识}",0.046,1,3.611
"{表内乘法（一）} => {长度单位}",0.046,1,2.407
"{从不同位置观察物体,从不同的位置观察物体} => {表内乘法（一）,观察物体}",0.092,1,4.535
"{下面的} => {长度单位}",0.041,0.667,1.605
"{统计} => {数学广角}",0.103,1,5.132
"{表内乘法（二）,统计} => {数学广角}",0.092,1,5.132
"{表内乘法（二）,统计} => {认识时间}",0.092,1,5.132
"{表内乘法（二）,统计} => {表内乘法（一）,观察物体}",0.092,1,4.535
"{表内乘法（二）,统计} => {角的初步认识}",0.092,1,3.611
"{表内乘法（二）,统计} => {解决问题}",0.092,1,2.826
"{表内乘法（二）,统计} => {长度单位}",0.092,1,2.407
"{认识时间} => {解决问题}",0.195,1,2.826
"{角的初步认识} => {长度单位}",0.272,0.981,2.363
"{长度单位} => {角的初步认识}",0.272,0.654,2.363
"{表内乘法（一）,环卫阿姨3月收集瓶子37个，4月收集瓶子58个，4月比3月大约多收集多少个？,角的初步认识} => {长度单位}",0.015,1,2.407
"{表内乘法（一）,环卫阿姨3月收集瓶子37个，4月收集瓶子58个，4月比3月大约多收集多少个？,长度单位} => {角的初步认识}",0.015,1,3.611
"{0,表内乘法（一）} => {角的初步认识}",0.015,1,3.611
"{0,表内乘法（一）} => {长度单位}",0.015,1,2.407
"{表内乘法（一）,角的初步认识} => {长度单位}",0.046,1,2.407
"{表内乘法（一）,长度单位} => {角的初步认识}",0.046,1,3.611
"{0,下面的} => {长度单位}",0.015,0.75,1.806
"{角的初步认识,下面的} => {长度单位}",0.021,1,2.407
"{0,角的初步认识} => {长度单位}",0.046,1,2.407
