"items","support"
"1","{ChildrensDay,Clothes(2)}",0.056
"2","{Ability,Birthday,Food,Time}",0.081
"3","{Birthday,Food,Time}",0.081
"4","{Ability,Food,Time}",0.081
"5","{Ability,Birthday,Food}",0.081
"6","{Birthday,Food}",0.081
"7","{Ability,Food}",0.081
"8","{Food,Time}",0.081
"9","{Ability,Birthday,Time}",0.081
"10","{Birthday,Time}",0.081
"11","{Ability,Time}",0.081
"12","{Ability,Birthday}",0.081
"13","{AgeandPhoneNumbers,Greetings,Hello,Numbers}",0.089
"14","{AgeandPhoneNumbers,Greetings,Hello}",0.089
"15","{Greetings,Hello,Numbers}",0.089
"16","{AgeandPhoneNumbers,Hello,Numbers}",0.089
"17","{AgeandPhoneNumbers,Hello}",0.089
"18","{Hello,Numbers}",0.089
"19","{Greetings,Hello}",0.089
"20","{AgeandPhoneNumbers,Greetings,Numbers}",0.089
"21","{AgeandPhoneNumbers,Greetings}",0.089
"22","{Greetings,Numbers}",0.089
"23","{AgeandPhoneNumbers,Numbers}",0.089
"24","{AgeandPhoneNumbers}",0.156
"25","{Numbers}",0.148
"26","{Greetings}",0.148
"27","{Hello}",0.148
"28","{Birthday}",0.145
"29","{Ability}",0.133
"30","{Time}",0.131
"31","{Food}",0.127
"32","{SchoolThings}",0.124
"33","{Colors}",0.094
"34","{Families}",0.092
"35","{HappyNewYear}",0.063
"36","{Clothes(2)}",0.062
"37","{Clothes(1)}",0.086
"38","{ChildrensDay}",0.056
"39","{Partsofthebody}",0.079
