"rules","support","confidence","lift"
"{Clothes(1)} => {Partsofthebody}",0.154,1,6.5
"{Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1)} => {ChildrensDay}",0.154,1,3.488
"{Clothes(1)} => {Clothes(2)}",0.154,1,3.488
"{Clothes(1)} => {Time}",0.154,1,2.424
"{Clothes(1)} => {Food}",0.154,1,2.424
"{Clothes(1)} => {Birthday}",0.154,1,2.424
"{Clothes(1)} => {Ability}",0.154,1,2.424
"{Partsofthebody} => {ChildrensDay}",0.154,1,3.488
"{Partsofthebody} => {Clothes(2)}",0.154,1,3.488
"{Partsofthebody} => {Time}",0.154,1,2.424
"{Partsofthebody} => {Food}",0.154,1,2.424
"{Partsofthebody} => {Birthday}",0.154,1,2.424
"{Partsofthebody} => {Ability}",0.154,1,2.424
"{HappyNewYear} => {Families}",0.175,1,5.72
"{Families} => {HappyNewYear}",0.175,1,5.72
"{HappyNewYear} => {Colors}",0.175,1,5.72
"{Colors} => {HappyNewYear}",0.175,1,5.72
"{HappyNewYear} => {SchoolThings}",0.175,1,5.72
"{SchoolThings} => {HappyNewYear}",0.175,1,5.72
"{HappyNewYear} => {AgeandPhoneNumbers}",0.175,1,2.2
"{HappyNewYear} => {Greetings}",0.175,1,2.2
"{HappyNewYear} => {Hello}",0.175,1,2.2
"{HappyNewYear} => {Numbers}",0.175,1,2.2
"{Families} => {Colors}",0.175,1,5.72
"{Colors} => {Families}",0.175,1,5.72
"{Families} => {SchoolThings}",0.175,1,5.72
"{SchoolThings} => {Families}",0.175,1,5.72
"{Families} => {AgeandPhoneNumbers}",0.175,1,2.2
"{Families} => {Greetings}",0.175,1,2.2
"{Families} => {Hello}",0.175,1,2.2
"{Families} => {Numbers}",0.175,1,2.2
"{Colors} => {SchoolThings}",0.175,1,5.72
"{SchoolThings} => {Colors}",0.175,1,5.72
"{Colors} => {AgeandPhoneNumbers}",0.175,1,2.2
"{Colors} => {Greetings}",0.175,1,2.2
"{Colors} => {Hello}",0.175,1,2.2
"{Colors} => {Numbers}",0.175,1,2.2
"{SchoolThings} => {AgeandPhoneNumbers}",0.175,1,2.2
"{SchoolThings} => {Greetings}",0.175,1,2.2
"{SchoolThings} => {Hello}",0.175,1,2.2
"{SchoolThings} => {Numbers}",0.175,1,2.2
"{ChildrensDay} => {Clothes(2)}",0.287,1,3.488
"{Clothes(2)} => {ChildrensDay}",0.287,1,3.488
"{Time} => {Food}",0.413,1,2.424
"{Food} => {Time}",0.413,1,2.424
"{Time} => {Birthday}",0.413,1,2.424
"{Birthday} => {Time}",0.413,1,2.424
"{Time} => {Ability}",0.413,1,2.424
"{Ability} => {Time}",0.413,1,2.424
"{Food} => {Birthday}",0.413,1,2.424
"{Birthday} => {Food}",0.413,1,2.424
"{Food} => {Ability}",0.413,1,2.424
"{Ability} => {Food}",0.413,1,2.424
"{Birthday} => {Ability}",0.413,1,2.424
"{Ability} => {Birthday}",0.413,1,2.424
"{AgeandPhoneNumbers} => {Greetings}",0.455,1,2.2
"{Greetings} => {AgeandPhoneNumbers}",0.455,1,2.2
"{AgeandPhoneNumbers} => {Hello}",0.455,1,2.2
"{Hello} => {AgeandPhoneNumbers}",0.455,1,2.2
"{AgeandPhoneNumbers} => {Numbers}",0.455,1,2.2
"{Numbers} => {AgeandPhoneNumbers}",0.455,1,2.2
"{Greetings} => {Hello}",0.455,1,2.2
"{Hello} => {Greetings}",0.455,1,2.2
"{Greetings} => {Numbers}",0.455,1,2.2
"{Numbers} => {Greetings}",0.455,1,2.2
"{Hello} => {Numbers}",0.455,1,2.2
"{Numbers} => {Hello}",0.455,1,2.2
"{Clothes(1),Partsofthebody} => {ChildrensDay}",0.154,1,3.488
"{ChildrensDay,Clothes(1)} => {Partsofthebody}",0.154,1,6.5
"{ChildrensDay,Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Partsofthebody} => {Clothes(2)}",0.154,1,3.488
"{Clothes(1),Clothes(2)} => {Partsofthebody}",0.154,1,6.5
"{Clothes(2),Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Partsofthebody} => {Time}",0.154,1,2.424
"{Clothes(1),Time} => {Partsofthebody}",0.154,1,6.5
"{Partsofthebody,Time} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Partsofthebody} => {Food}",0.154,1,2.424
"{Clothes(1),Food} => {Partsofthebody}",0.154,1,6.5
"{Food,Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Partsofthebody} => {Birthday}",0.154,1,2.424
"{Birthday,Clothes(1)} => {Partsofthebody}",0.154,1,6.5
"{Birthday,Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Partsofthebody} => {Ability}",0.154,1,2.424
"{Ability,Clothes(1)} => {Partsofthebody}",0.154,1,6.5
"{Ability,Partsofthebody} => {Clothes(1)}",0.154,1,6.5
"{ChildrensDay,Clothes(1)} => {Clothes(2)}",0.154,1,3.488
"{Clothes(1),Clothes(2)} => {ChildrensDay}",0.154,1,3.488
"{ChildrensDay,Clothes(1)} => {Time}",0.154,1,2.424
"{Clothes(1),Time} => {ChildrensDay}",0.154,1,3.488
"{ChildrensDay,Time} => {Clothes(1)}",0.154,1,6.5
"{ChildrensDay,Clothes(1)} => {Food}",0.154,1,2.424
"{Clothes(1),Food} => {ChildrensDay}",0.154,1,3.488
"{ChildrensDay,Food} => {Clothes(1)}",0.154,1,6.5
"{ChildrensDay,Clothes(1)} => {Birthday}",0.154,1,2.424
"{Birthday,Clothes(1)} => {ChildrensDay}",0.154,1,3.488
"{Birthday,ChildrensDay} => {Clothes(1)}",0.154,1,6.5
"{ChildrensDay,Clothes(1)} => {Ability}",0.154,1,2.424
"{Ability,Clothes(1)} => {ChildrensDay}",0.154,1,3.488
"{Ability,ChildrensDay} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Clothes(2)} => {Time}",0.154,1,2.424
"{Clothes(1),Time} => {Clothes(2)}",0.154,1,3.488
"{Clothes(2),Time} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Clothes(2)} => {Food}",0.154,1,2.424
"{Clothes(1),Food} => {Clothes(2)}",0.154,1,3.488
"{Clothes(2),Food} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Clothes(2)} => {Birthday}",0.154,1,2.424
"{Birthday,Clothes(1)} => {Clothes(2)}",0.154,1,3.488
"{Birthday,Clothes(2)} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Clothes(2)} => {Ability}",0.154,1,2.424
"{Ability,Clothes(1)} => {Clothes(2)}",0.154,1,3.488
"{Ability,Clothes(2)} => {Clothes(1)}",0.154,1,6.5
"{Clothes(1),Time} => {Food}",0.154,1,2.424
"{Clothes(1),Food} => {Time}",0.154,1,2.424
"{Clothes(1),Time} => {Birthday}",0.154,1,2.424
"{Birthday,Clothes(1)} => {Time}",0.154,1,2.424
"{Clothes(1),Time} => {Ability}",0.154,1,2.424
"{Ability,Clothes(1)} => {Time}",0.154,1,2.424
"{Clothes(1),Food} => {Birthday}",0.154,1,2.424
