"rules","support","confidence","lift"
"{画,四季} => {一去二三里}",0.011,0.75,3.655
"{胖乎乎的小手} => {柳树醒了}",0.011,0.75,5.009
"{春雨的色彩} => {柳树醒了}",0.065,1,6.679
"{邓小平爷爷植树,古诗两首} => {看电视,胖乎乎的小手}",0.055,0.938,8.898
"{雪地里的小画家,借生日} => {小松鼠找花生}",0.048,1,14.622
"{小松鼠找花生} => {雪地里的小画家,借生日}",0.048,0.703,14.622
"{两只鸟蛋} => {柳树醒了}",0.015,0.8,5.343
"{松鼠和松果} => {月亮的心愿,两只鸟蛋}",0.044,0.923,9.792
"{松鼠和松果} => {棉鞋里的阳光}",0.046,0.962,9.289
"{哪座房子最漂亮} => {一去二三里}",0.018,0.769,3.749
"{司马光} => {乌鸦喝水}",0.063,1,12.581
"{乌鸦喝水} => {司马光}",0.063,0.791,12.581
"{爷爷和小树,静夜思} => {小小竹排画中游,哪座房子最漂亮}",0.105,1,8.197
"{小小竹排画中游,哪座房子最漂亮} => {爷爷和小树,静夜思}",0.105,0.864,8.197
"{小壁虎借尾巴,四个太阳} => {乌鸦喝水}",0.063,0.944,11.882
"{乌鸦喝水} => {小壁虎借尾巴,四个太阳}",0.063,0.791,11.882
"{美丽的小路,失物招领} => {古诗两首}",0.054,0.853,10.731
"{古诗两首} => {美丽的小路,失物招领}",0.054,0.674,10.731
"{美丽的小路,失物招领} => {荷叶圆圆}",0.057,0.912,7.589
"{一次比一次有进步} => {小松鼠找花生}",0.052,0.875,12.794
"{小松鼠找花生} => {一次比一次有进步}",0.052,0.757,12.794
"{比尾巴} => {小小的船}",0.055,0.938,13.708
"{小小的船} => {比尾巴}",0.055,0.811,13.708
"{比尾巴} => {阳光}",0.052,0.875,10.759
"{阳光} => {比尾巴}",0.052,0.636,10.759
"{比尾巴} => {影子}",0.057,0.969,10.482
"{影子} => {比尾巴}",0.057,0.62,10.482
"{棉花姑娘} => {地球爷爷的手}",0.044,0.857,14.491
"{地球爷爷的手} => {棉花姑娘}",0.044,0.75,14.491
"{松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.043,1,10.608
"{松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,0.957,9.241
"{松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.043,1,8.323
"{松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首} => {看电视,胖乎乎的小手}",0.043,0.958,9.096
"{春雨的色彩,邓小平爷爷植树,古诗两首} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{春雨的色彩,邓小平爷爷植树,古诗两首} => {棉鞋里的阳光}",0.043,0.958,9.258
"{春雨的色彩,邓小平爷爷植树,古诗两首} => {荷叶圆圆}",0.043,0.958,7.976
"{春雨的色彩,邓小平爷爷植树,古诗两首} => {柳树醒了}",0.044,1,6.679
"{小小的船} => {阳光}",0.054,0.784,9.637
"{阳光} => {小小的船}",0.054,0.659,9.637
"{小小的船} => {影子}",0.059,0.865,9.358
"{影子} => {小小的船}",0.059,0.64,9.358
"{古诗两首} => {荷叶圆圆}",0.061,0.767,6.387
"{阳光} => {影子}",0.067,0.818,8.853
"{影子} => {阳光}",0.067,0.72,8.853
"{在家里} => {口耳目}",0.144,0.987,5.342
"{口耳目} => {在家里}",0.144,0.78,5.342
"{在家里} => {一去二三里}",0.146,1,4.874
"{一去二三里} => {在家里}",0.146,0.712,4.874
"{月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.087,0.922,8.903
"{棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.087,0.839,8.903
"{口耳目} => {一去二三里}",0.172,0.93,4.533
"{一去二三里} => {口耳目}",0.172,0.838,4.533
"{雪地里的小画家,借生日,一次比一次有进步} => {小松鼠找花生}",0.048,1,14.622
"{松鼠和松果,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.044,1,9.661
"{棉鞋里的阳光,松鼠和松果} => {月亮的心愿,两只鸟蛋}",0.044,0.96,10.184
"{哪座房子最漂亮,影子} => {一去二三里}",0.013,1,4.874
