"rules","support","confidence","lift"
"{陶罐与铁罐,掌声} => {科利亚的木匣}",0.017,1,12.706
"{奇怪的大石头,我不能失信} => {灰雀}",0.028,1,9
"{奇怪的大石头,我不能失信} => {小摄影师}",0.028,1,8.757
"{陶罐与铁罐} => {矛与盾的集合}",0.015,0.833,13.171
"{陶罐与铁罐} => {科利亚的木匣}",0.017,0.917,11.647
"{西门豹,女娲补天} => {古诗两首}",0.029,1,3.224
"{玩出了名堂,找骆驼} => {蜜蜂}",0.029,1,7.364
"{找骆驼,孔子拜师} => {盘古开天地}",0.031,1,13.5
"{奇怪的大石头} => {灰雀}",0.032,1,9
"{奇怪的大石头} => {小摄影师}",0.032,1,8.757
"{爬天都峰} => {入学教育一}",0.022,0.636,14.727
"{陶罐与铁罐,狮子和鹿} => {矛与盾的集合}",0.028,0.947,14.973
"{陶罐与铁罐,狮子和鹿} => {科利亚的木匣}",0.029,1,12.706
"{给予树,好汉查理} => {掌声}",0.029,0.826,14.468
"{听听，秋的声音} => {风筝}",0.028,0.9,8.576
"{听听，秋的声音} => {秋天的雨}",0.028,0.9,7.674
"{听听，秋的声音} => {古诗两首}",0.028,0.9,2.901
"{富饶的西沙群岛,美丽的小兴安岭,香港，璀璨的明珠} => {古诗两首}",0.059,0.974,3.141
"{画杨桃} => {路旁的橡树,寓言两则}",0.043,0.966,12.513
"{画杨桃} => {惊弓之鸟}",0.043,0.966,9.338
"{孔子拜师} => {赵州桥,一幅名扬中外的画}",0.029,0.826,14.087
"{孔子拜师} => {盘古开天地}",0.034,0.957,12.913
"{赵州桥,一幅名扬中外的画} => {盘古开天地}",0.059,1,13.5
"{盘古开天地} => {赵州桥,一幅名扬中外的画}",0.059,0.792,13.5
"{夸父追日} => {古诗两首}",0.035,0.92,2.966
"{我不能失信,古诗两首} => {风筝}",0.048,0.939,8.952
"{我不能失信,古诗两首} => {秋天的雨}",0.048,0.939,8.01
"{寓言两则} => {惊弓之鸟}",0.015,0.667,6.448
"{寓言两则} => {一个村庄的故事}",0.019,0.8,7.513
"{寓言两则} => {燕子}",0.014,0.6,3.775
"{寓言两则} => {荷花}",0.015,0.667,4
"{寓言两则} => {古诗两首}",0.015,0.667,2.149
"{翠鸟} => {惊弓之鸟}",0.017,0.688,6.649
"{翠鸟} => {一个村庄的故事}",0.015,0.625,5.87
"{翠鸟} => {荷花}",0.022,0.875,5.25
"{翠鸟} => {古诗两首}",0.015,0.625,2.015
"{玩出了名堂} => {听听，秋的声音,花钟}",0.062,0.952,12.857
"{听听，秋的声音,花钟} => {玩出了名堂}",0.062,0.833,12.857
"{玩出了名堂} => {蜜蜂}",0.063,0.976,7.188
"{一次成功的实验} => {掌声}",0.032,0.724,12.682
"{矛与盾的集合} => {科利亚的木匣}",0.063,1,12.706
"{科利亚的木匣} => {矛与盾的集合}",0.063,0.804,12.706
"{听听，秋的声音,花钟} => {蜜蜂}",0.069,0.938,6.903
"{妈妈的账单} => {绝招}",0.073,1,12.96
"{绝招} => {妈妈的账单}",0.073,0.94,12.96
"{妈妈的账单} => {可贵的沉默,她是我的朋友}",0.073,1,12.96
"{可贵的沉默,她是我的朋友} => {妈妈的账单}",0.073,0.94,12.96
"{妈妈的账单} => {七颗钻石}",0.073,1,12
"{七颗钻石} => {妈妈的账单}",0.073,0.87,12
