"rules","support","confidence","lift"
"{“红领巾”真好,清澈的湖水,浅水洼里的小鱼} => {古诗两首}",0.03,1,8.953
"{植物妈妈有办法,《古诗两首》} => {秋天的图画,黄山奇石}",0.031,1,11.235
"{酸的和甜的,称赞} => {蓝色的树叶,纸船和风筝}",0.031,0.947,13.24
"{最大的“书”,要是你再野外迷了路,要是你在野外迷了路} => {古诗两首}",0.017,1,8.953
"{风娃娃,酸的和甜的,称赞} => {蓝色的树叶,纸船和风筝}",0.04,1,13.976
"{植物妈妈有办法} => {秋天的图画,黄山奇石}",0.037,1,11.235
"{小柳树和小枣树,风娃娃} => {坐井观天}",0.03,1,6.988
"{小柳树和小枣树,风娃娃} => {我要的是葫芦}",0.03,1,6.741
"{雷锋叔叔，你在哪里,我不是最弱小的} => {泉水}",0.033,1,11.235
"{最大的“书”,要是你再野外迷了路} => {古诗两首}",0.031,1,8.953
"{难忘的一天} => {我选我}",0.035,0.952,8.396
"{难忘的一天} => {一分钟}",0.033,0.905,7.102
"{笋芽儿} => {找春天,古诗两首}",0.075,0.977,8.75
"{找春天,古诗两首} => {笋芽儿}",0.075,0.672,8.75
"{我们成功了} => {难忘的一天,欢庆}",0.054,0.969,12.335
"{难忘的一天,欢庆} => {我们成功了}",0.054,0.689,12.335
"{我们成功了} => {北京}",0.052,0.938,6.976
"{雷锋叔叔，你在哪里,我不是最弱小的,卡罗尔和她的小猫} => {日月潭,葡萄沟,难忘的泼水节}",0.03,0.944,14.626
"{雷锋叔叔，你在哪里,我不是最弱小的,卡罗尔和她的小猫} => {动手做做看,邮票齿孔的故事,画风}",0.03,0.944,10.407
"{雷锋叔叔，你在哪里,我不是最弱小的,卡罗尔和她的小猫} => {找春天,古诗两首}",0.03,0.944,8.456
"{雷锋叔叔，你在哪里,我不是最弱小的,卡罗尔和她的小猫} => {泉水}",0.031,1,11.235
"{雷锋叔叔，你在哪里,我不是最弱小的,卡罗尔和她的小猫} => {北京亮起来了}",0.03,0.944,6.938
"{卡罗尔和她的小猫} => {日月潭,葡萄沟,难忘的泼水节}",0.035,0.714,11.062
"{卡罗尔和她的小猫} => {北京亮起来了}",0.042,0.857,6.297
"{充气雨衣} => {古诗两首}",0.049,0.933,8.356
"{笋芽儿,小鹿的玫瑰花} => {日月潭,葡萄沟,难忘的泼水节}",0.03,0.895,13.856
"{笋芽儿,小鹿的玫瑰花} => {动手做做看,邮票齿孔的故事,画风}",0.03,0.895,9.859
"{笋芽儿,小鹿的玫瑰花} => {找春天,古诗两首}",0.03,0.895,8.011
"{笋芽儿,小鹿的玫瑰花} => {泉水}",0.03,0.895,10.053
"{笋芽儿,小鹿的玫瑰花} => {北京亮起来了}",0.031,0.947,6.96
"{一株紫丁香} => {我选我}",0.038,0.815,7.183
"{一株紫丁香} => {一分钟}",0.038,0.815,6.396
"{雷雨} => {古诗两首}",0.051,0.906,8.114
"{《古诗两首》,一株紫丁香} => {我选我}",0.058,0.892,7.862
"{《古诗两首》,一株紫丁香} => {一分钟}",0.058,0.892,7.001
"{小鹿的玫瑰花} => {泉水}",0.047,0.844,9.48
"{我们成功了,看雪} => {欢庆}",0.044,0.735,11.703
"{欢庆} => {我们成功了,看雪}",0.044,0.694,11.703
"{我们成功了,看雪} => {北京}",0.047,0.794,5.909
"{日月潭,葡萄沟,难忘的泼水节} => {北京亮起来了}",0.065,1,7.346
"{欢庆} => {北京}",0.047,0.75,5.581
"{小柳树和小枣树} => {看雪}",0.065,0.902,9.757
