"rules","support","confidence","lift"
"{别饿坏了那匹马,《唯一的听众》,唯一的听众,《别饿坏了那匹马》} => {中华少年}",0.021,1,12.125
"{《穷人》,穷人} => {中华少年}",0.031,1,12.125
"{詹天佑,怀念母亲,彩色的翅膀} => {中华少年}",0.021,1,12.125
"{草虫的村落} => {山中访友}",0.052,1,12.125
"{山中访友} => {草虫的村落}",0.052,0.625,12.125
"{草虫的村落} => {山雨}",0.052,1,12.125
"{山雨} => {草虫的村落}",0.052,0.625,12.125
"{真理诞生前的一百个问号} => {真理诞生于一百个问号之后}",0.031,1,9.7
"{真理诞生前的一百个问号} => {我最好的老师}",0.031,1,8.818
"{跨越百年的美丽,千年圆梦在今朝} => {汤姆<U+2022>索亚历险记}",0.093,1,6.467
"{汤姆<U+2022>索亚历险记} => {跨越百年的美丽,千年圆梦在今朝}",0.093,0.6,6.467
"{凡卡} => {藏戏}",0.021,1,13.857
"{凡卡} => {一夜的工作}",0.021,1,6.929
"{凡卡} => {汤姆<U+2022>索亚历险记}",0.021,1,6.467
"{2.文言文两则,匆匆} => {顶碗少年}",0.021,1,4.619
"{匆匆} => {灯光}",0.021,0.667,12.933
"{匆匆} => {我最好的老师}",0.021,0.667,5.879
"{匆匆} => {藏戏}",0.021,0.667,9.238
"{匆匆} => {汤姆<U+2022>索亚历险记}",0.021,0.667,4.311
"{匆匆} => {手指}",0.021,0.667,3.804
"{为人民服务} => {十六年前的回忆,灯光}",0.103,1,6.467
"{十六年前的回忆,灯光} => {为人民服务}",0.103,0.667,6.467
"{为人民服务} => {各具特色的民居,和田的维吾尔}",0.103,1,5.706
"{穷人} => {山中访友}",0.021,0.667,8.083
"{穷人} => {山雨}",0.021,0.667,8.083
"{穷人} => {中华少年}",0.031,1,12.125
"{少年闰土} => {山雨}",0.021,0.667,8.083
"{少年闰土} => {中华少年}",0.031,1,12.125
"{山中访友} => {山雨}",0.072,0.875,10.609
"{山雨} => {山中访友}",0.072,0.875,10.609
"{为人民服务,一夜的工作} => {卖火柴的小女孩,凡卡}",0.031,0.6,4.477
"{为人民服务,一夜的工作} => {北京的春节,藏戏}",0.031,0.6,5.291
"{为人民服务,一夜的工作} => {鲁宾孙漂流记}",0.041,0.8,5.543
"{为人民服务,一夜的工作} => {十六年前的回忆,灯光}",0.031,0.6,3.88
"{为人民服务,一夜的工作} => {桃花心木}",0.031,0.6,3.424
"{为人民服务,一夜的工作} => {各具特色的民居,和田的维吾尔}",0.031,0.6,3.424
"{为人民服务,一夜的工作} => {顶碗少年}",0.041,0.8,3.695
"{为人民服务,一夜的工作} => {手指}",0.052,1,5.706
"{灯光} => {真理诞生于一百个问号之后}",0.031,0.6,5.82
"{灯光} => {和田的维吾尔}",0.031,0.6,11.64
"{和田的维吾尔} => {灯光}",0.031,0.6,11.64
"{灯光} => {汤姆<U+2022>索亚历险记}",0.041,0.8,5.173
"{真理诞生于一百个问号之后} => {我最好的老师}",0.082,0.8,7.055
"{我最好的老师} => {真理诞生于一百个问号之后}",0.082,0.727,7.055
"{和田的维吾尔} => {汤姆<U+2022>索亚历险记}",0.041,0.8,5.173
"{和田的维吾尔} => {手指}",0.031,0.6,3.424
"{一夜的工作} => {卖火柴的小女孩,凡卡}",0.093,0.643,4.797
"{卖火柴的小女孩,凡卡} => {一夜的工作}",0.093,0.692,4.797
"{一夜的工作} => {鲁宾孙漂流记}",0.093,0.643,4.454
"{鲁宾孙漂流记} => {一夜的工作}",0.093,0.643,4.454
"{卖火柴的小女孩,凡卡} => {鲁宾孙漂流记}",0.134,1,6.929
"{鲁宾孙漂流记} => {卖火柴的小女孩,凡卡}",0.134,0.929,6.929
"{北京的春节,藏戏} => {桃花心木}",0.103,0.909,5.187
"{北京的春节,藏戏} => {顶碗少年}",0.103,0.909,4.199
"{北京的春节,藏戏} => {手指}",0.103,0.909,5.187
"{十六年前的回忆,灯光} => {各具特色的民居,和田的维吾尔}",0.144,0.933,5.325
"{各具特色的民居,和田的维吾尔} => {十六年前的回忆,灯光}",0.144,0.824,5.325
"{桃花心木} => {顶碗少年}",0.165,0.941,4.347
"{顶碗少年} => {桃花心木}",0.165,0.762,4.347
"{顶碗少年} => {手指}",0.144,0.667,3.804
"{手指} => {顶碗少年}",0.144,0.824,3.804
"{《穷人》,穷人,别饿坏了那匹马,《唯一的听众》,唯一的听众,《别饿坏了那匹马》} => {中华少年}",0.021,1,12.125
"{草虫的村落,山中访友} => {山雨}",0.052,1,12.125
"{草虫的村落,山雨} => {山中访友}",0.052,1,12.125
"{山雨,山中访友} => {草虫的村落}",0.052,0.714,13.857
"{真理诞生前的一百个问号,真理诞生于一百个问号之后} => {我最好的老师}",0.031,1,8.818
"{我最好的老师,真理诞生前的一百个问号} => {真理诞生于一百个问号之后}",0.031,1,9.7
"{藏戏,凡卡} => {一夜的工作}",0.021,1,6.929
"{凡卡,一夜的工作} => {藏戏}",0.021,1,13.857
"{藏戏,凡卡} => {汤姆<U+2022>索亚历险记}",0.021,1,6.467
"{凡卡,汤姆<U+2022>索亚历险记} => {藏戏}",0.021,1,13.857
"{凡卡,一夜的工作} => {汤姆<U+2022>索亚历险记}",0.021,1,6.467
"{凡卡,汤姆<U+2022>索亚历险记} => {一夜的工作}",0.021,1,6.929
"{匆匆,灯光} => {汤姆<U+2022>索亚历险记}",0.021,1,6.467
"{匆匆,我最好的老师} => {藏戏}",0.021,1,13.857
"{藏戏,匆匆} => {我最好的老师}",0.021,1,8.818
"{十六年前的回忆,灯光,为人民服务} => {各具特色的民居,和田的维吾尔}",0.103,1,5.706
"{各具特色的民居,和田的维吾尔,为人民服务} => {十六年前的回忆,灯光}",0.103,1,6.467
"{各具特色的民居,和田的维吾尔,十六年前的回忆,灯光} => {为人民服务}",0.103,0.714,6.929
"{穷人,少年闰土} => {中华少年}",0.021,1,12.125
"{穷人,山中访友} => {山雨}",0.021,1,12.125
"{穷人,山雨} => {山中访友}",0.021,1,12.125
"{穷人,山中访友} => {中华少年}",0.021,1,12.125
"{穷人,中华少年} => {山中访友}",0.021,0.667,8.083
"{穷人,山雨} => {中华少年}",0.021,1,12.125
"{穷人,中华少年} => {山雨}",0.021,0.667,8.083
"{山雨,少年闰土} => {中华少年}",0.021,1,12.125
"{少年闰土,中华少年} => {山雨}",0.021,0.667,8.083
"{山中访友,中华少年} => {山雨}",0.021,1,12.125
"{山雨,中华少年} => {山中访友}",0.021,0.667,8.083
"{卖火柴的小女孩,凡卡,为人民服务,一夜的工作} => {北京的春节,藏戏}",0.031,1,8.818
"{北京的春节,藏戏,为人民服务,一夜的工作} => {卖火柴的小女孩,凡卡}",0.031,1,7.462
"{卖火柴的小女孩,凡卡,为人民服务,一夜的工作} => {鲁宾孙漂流记}",0.031,1,6.929
"{鲁宾孙漂流记,为人民服务,一夜的工作} => {卖火柴的小女孩,凡卡}",0.031,0.75,5.596
"{卖火柴的小女孩,凡卡,为人民服务,一夜的工作} => {十六年前的回忆,灯光}",0.031,1,6.467
"{十六年前的回忆,灯光,为人民服务,一夜的工作} => {卖火柴的小女孩,凡卡}",0.031,1,7.462
"{卖火柴的小女孩,凡卡,为人民服务,一夜的工作} => {桃花心木}",0.031,1,5.706
"{桃花心木,为人民服务,一夜的工作} => {卖火柴的小女孩,凡卡}",0.031,1,7.462
"{卖火柴的小女孩,凡卡,为人民服务,一夜的工作} => {各具特色的民居,和田的维吾尔}",0.031,1,5.706
